total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
1954,1954,1951,0,3,0.0,19.51,0.009211873080859774,0.009211873080859774,0.9984646878198568,14.65,0.7508969759097899,0.4887410440122825,51.65785463580687,196.9540227205107,275.45557204902434,"{0: 0.007368421052631579, 1: 0.010956175298804782}",0.999996722226704,20,42,utility_latency_penalty=1.0,utility_latency_penalty,1.0
2084,2084,2079,0,5,0.0,20.79,0.014395393474088292,0.014395393474088292,0.9976007677543186,15.629000000000001,0.7517556517556518,0.47696737044145876,54.042054628487676,191.15246795750042,284.298918662254,"{0: 0.012108980827447022, 1: 0.01646843549862763}",0.9999951100687375,20,43,utility_latency_penalty=1.0,utility_latency_penalty,1.0
2075,2075,2075,0,0,0.0,20.75,0.01927710843373494,0.01927710843373494,1.0,15.571,0.7504096385542168,0.4906024096385542,55.06977939725766,238.09141077668735,306.91741118995077,"{0: 0.010901883052527254, 1: 0.027204502814258912}",0.9999309547344271,20,44,utility_latency_penalty=1.0,utility_latency_penalty,1.0
1954,1954,1953,0,1,0.0,19.53,0.0005117707267144319,0.0005117707267144319,0.9994882292732856,12.722000000000001,0.6514080901177675,1.0,17.682654059753986,37.30398674033421,52.97814423128963,"{0: 0.0010526315789473684, 1: 0.0}",0.9999997226999485,20,42,utility_latency_penalty=2.0,utility_latency_penalty,2.0
2084,2084,2083,0,1,0.0,20.83,0.0004798464491362764,0.0004798464491362764,0.9995201535508638,13.59,0.6524243879020644,1.0,18.2141326105193,39.428314261169895,54.62027103586642,"{0: 0.0, 1: 0.0009149130832570906}",0.9999997905419643,20,43,utility_latency_penalty=2.0,utility_latency_penalty,2.0
2075,2075,2075,0,0,0.0,20.75,0.0,0.0,1.0,13.515999999999998,0.6513734939759035,1.0,18.60236867316098,38.86304076929445,53.994676084472715,"{0: 0.0, 1: 0.0}",1.0,20,44,utility_latency_penalty=2.0,utility_latency_penalty,2.0
2501,2501,2499,0,2,0.0,24.99,0.3358656537385046,0.3358656537385046,0.9992003198720512,18.839000000000002,0.753861544617847,0.3006797281087565,118.94835024925669,353.66475716330825,391.8044827201608,"{0: 0.2713114754098361, 1: 0.39734582357533177}",0.9911177423521634,25,42,utility_latency_penalty=0.0,utility_latency_penalty,0.0
2574,2574,2566,0,8,0.0,25.66,0.3356643356643357,0.3356643356643357,0.9968919968919969,19.322,0.7530007794232267,0.31546231546231546,123.90674089835011,351.15356563452383,390.7411713639867,"{0: 0.2640449438202247, 1: 0.40286144578313254}",0.9892730299400367,25,43,utility_latency_penalty=0.0,utility_latency_penalty,0.0
2581,2581,2576,0,5,0.0,25.76,0.35490120108485085,0.35490120108485085,0.9980627663696242,19.365,0.7517468944099378,0.32739248353351413,125.1891677966778,358.45506663359527,393.54409166785354,"{0: 0.2725060827250608, 1: 0.43026706231454004}",0.9854255840363242,25,44,utility_latency_penalty=0.0,utility_latency_penalty,0.0
2501,2501,2499,0,2,0.0,24.99,0.3358656537385046,0.3358656537385046,0.9992003198720512,18.839000000000002,0.753861544617847,0.3006797281087565,118.94835024925669,353.66475716330825,391.8044827201608,"{0: 0.2713114754098361, 1: 0.39734582357533177}",0.9911177423521634,25,42,utility_latency_penalty=0.12,utility_latency_penalty,0.12
2574,2574,2566,0,8,0.0,25.66,0.3356643356643357,0.3356643356643357,0.9968919968919969,19.322,0.7530007794232267,0.31546231546231546,123.90674089835011,351.15356563452383,390.7411713639867,"{0: 0.2640449438202247, 1: 0.40286144578313254}",0.9892730299400367,25,43,utility_latency_penalty=0.12,utility_latency_penalty,0.12
2581,2581,2576,0,5,0.0,25.76,0.35490120108485085,0.35490120108485085,0.9980627663696242,19.365,0.7517468944099378,0.32739248353351413,125.1891677966778,358.45506663359527,393.54409166785354,"{0: 0.2725060827250608, 1: 0.43026706231454004}",0.9854255840363242,25,44,utility_latency_penalty=0.12,utility_latency_penalty,0.12
2501,2501,2500,0,1,0.0,25.0,0.06557377049180328,0.06557377049180328,0.9996001599360256,18.652,0.74608,0.5069972011195522,64.21779337509724,293.29840791134274,344.2995324614201,"{0: 0.04180327868852459, 1: 0.08821233411397346}",0.9993844517714789,25,42,utility_latency_penalty=0.5,utility_latency_penalty,0.5
2574,2574,2569,0,5,0.0,25.69,0.05788655788655789,0.05788655788655789,0.9980574980574981,19.204,0.7475282210977034,0.49689199689199687,67.07649831521849,289.8516643749055,346.52925513921497,"{0: 0.036115569823434994, 1: 0.0783132530120482}",0.999499419533398,25,43,utility_latency_penalty=0.5,utility_latency_penalty,0.5
