total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,workload,policy_name
1569,1569,1569,0,0,0.0,15.69,0.06054811982154239,0.06054811982154239,1.0,12.371000000000002,0.7884639898024218,0.09623964308476737,76.00823843532999,267.42775881790146,338.57467093877676,"{0: 0.06725888324873096, 1: 0.05377720870678617}",0.9999485211965524,0.06725888324873096,0.05377720870678617,15,44,Poisson | Proposed,burstiness,Poisson,Proposed
1673,1673,1673,0,0,0.0,16.73,0.7973699940227137,0.7973699940227137,1.0,13.384,0.8,0.0,311.87968802916293,804.7864837984202,981.765099686272,"{0: 0.7460890493381468, 1: 0.8479809976247031}",0.9407290239171956,0.7460890493381468,0.8479809976247031,15,42,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
1691,1691,1691,0,0,0.0,16.91,0.7847427557658191,0.7847427557658191,1.0,13.528000000000002,0.8000000000000002,0.0,286.85421402360953,744.4479267789247,904.7864088206157,"{0: 0.7186400937866354, 1: 0.8520286396181385}",0.9119696504617457,0.7186400937866354,0.8520286396181385,15,43,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
1768,1768,1765,0,3,0.0,17.65,0.8552036199095022,0.8552036199095022,0.9983031674208145,14.12,0.8,0.0,352.7177957184904,847.2060036274091,1014.3507141762063,"{0: 0.8175824175824176, 1: 0.8951048951048951}",0.9321381110968865,0.8175824175824176,0.8951048951048951,15,44,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
1673,1673,1673,0,0,0.0,16.73,0.17752540346682605,0.17752540346682605,1.0,11.228,0.6711297071129707,0.6443514644351465,123.34900104025292,277.7859018836752,335.8564215009302,"{0: 0.2996389891696751, 1: 0.057007125890736345}",0.978666207443766,0.2996389891696751,0.057007125890736345,15,42,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
1691,1691,1691,0,0,0.0,16.91,0.17149615612063868,0.17149615612063868,1.0,11.302,0.66836191602602,0.6581904198698995,120.77992255443678,269.905203269449,309.1169411961872,"{0: 0.3048065650644783, 1: 0.03579952267303103}",0.9743927835081138,0.3048065650644783,0.03579952267303103,15,43,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
1768,1768,1768,0,0,0.0,17.68,0.2228506787330317,0.2228506787330317,1.0,11.722000000000001,0.6630090497737555,0.6849547511312217,119.94020895747963,284.5419167095129,326.4734158917718,"{0: 0.3659340659340659, 1: 0.07109557109557109}",0.9656377861292053,0.3659340659340659,0.07109557109557109,15,44,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
1673,1673,1673,0,0,0.0,16.73,0.44530783024506876,0.44530783024506876,1.0,12.222000000000001,0.7305439330543932,0.45546921697549314,108.9961437540187,418.1613985712376,474.3362325555825,"{0: 0.21540312876052947, 1: 0.672209026128266}",0.8556982555800198,0.21540312876052947,0.672209026128266,15,42,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
1691,1691,1691,0,0,0.0,16.91,0.42046126552335894,0.42046126552335894,1.0,12.34,0.729745712596097,0.4612655233589592,108.63043175806888,411.6606143389581,457.75015249378737,"{0: 0.21688159437280188, 1: 0.6276849642004774}",0.8877769669897012,0.21688159437280188,0.6276849642004774,15,43,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
1768,1768,1768,0,0,0.0,17.68,0.459841628959276,0.459841628959276,1.0,12.76,0.7217194570135747,0.5050904977375565,112.29751927657435,415.48458153489105,454.19326369148064,"{0: 0.25934065934065936, 1: 0.6724941724941725}",0.8698640051828352,0.25934065934065936,0.6724941724941725,15,44,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
