total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,policy_name
1569,1569,1569,0,0,0.0,15.69,0.09878903760356915,0.09878903760356915,1.0,12.296000000000001,0.7836838750796685,0.0815806246016571,76.74411190090905,231.81363294738298,298.4782302501509,"{0: 0.17639593908629442, 1: 0.020486555697823303}",0.9925790152722457,0.17639593908629442,0.020486555697823303,15,44,Threshold Downgrade,ablation,Threshold Downgrade
1468,1468,1467,0,1,0.0,14.67,0.0006811989100817438,0.0006811989100817438,0.9993188010899182,8.802,0.5999999999999999,1.0,11.054107461070089,21.87895145049406,29.930538332398417,"{0: 0.0, 1: 0.0013227513227513227}",0.999999562003257,0.0,0.0013227513227513227,15,42,Ablation: Fastest Feasible,ablation,Fastest Feasible
1576,1576,1576,0,0,0.0,15.76,0.0,0.0,1.0,9.456,0.5999999999999998,1.0,11.014435741115449,22.115367986205456,29.355925850479252,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,15,43,Ablation: Fastest Feasible,ablation,Fastest Feasible
1569,1569,1569,0,0,0.0,15.69,0.0,0.0,1.0,9.414,0.5999999999999999,1.0,11.371130117899156,22.053979809580774,32.35119824798719,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,15,44,Ablation: Fastest Feasible,ablation,Fastest Feasible
1468,1468,1467,0,1,0.0,14.67,0.030653950953678476,0.030653950953678476,0.9993188010899182,11.633,0.7929788684389911,0.06198910081743869,70.37967891674634,216.3554781304425,299.534807960692,"{0: 0.04073033707865169, 1: 0.021164021164021163}",0.9998980894912554,0.04073033707865169,0.021164021164021163,15,42,Proposed: Feasible Utility,ablation,Proposed
1576,1576,1576,0,0,0.0,15.76,0.061548223350253804,0.061548223350253804,1.0,12.458,0.7904822335025382,0.07614213197969544,75.22532152953227,263.17332311352493,340.0920838384418,"{0: 0.07294429708222812, 1: 0.051094890510948905}",0.9998643646606163,0.07294429708222812,0.051094890510948905,15,43,Proposed: Feasible Utility,ablation,Proposed
1569,1569,1569,0,0,0.0,15.69,0.06054811982154239,0.06054811982154239,1.0,12.371000000000002,0.7884639898024218,0.09623964308476737,76.00823843532999,267.42775881790146,338.57467093877676,"{0: 0.06725888324873096, 1: 0.05377720870678617}",0.9999485211965524,0.06725888324873096,0.05377720870678617,15,44,Proposed: Feasible Utility,ablation,Proposed
1468,1463,1462,5,1,0.0034059945504087193,14.62,0.0326975476839237,0.02939166097060834,0.9993164730006835,11.603,0.7936388508891928,0.05809979494190021,71.90268100252615,220.28191416619563,296.9012800137446,"{0: 0.047752808988764044, 1: 0.018518518518518517}",0.9997714954814931,0.047752808988764044,0.018518518518518517,15,42,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
1576,1562,1562,14,0,0.008883248730964468,15.62,0.06091370558375635,0.052496798975672214,1.0,12.371000000000002,0.7919974391805379,0.06978233034571063,74.18729260365217,250.42373810390654,329.37264728396224,"{0: 0.07294429708222812, 1: 0.049878345498783457}",0.9998490383718149,0.07294429708222812,0.049878345498783457,15,43,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
1569,1556,1556,13,0,0.0082855321861058,15.56,0.06246016571064372,0.05462724935732648,1.0,12.294,0.7901028277634962,0.08611825192802057,76.87928976385592,268.50689758556473,330.5109608007011,"{0: 0.06979695431472081, 1: 0.05505761843790013}",0.9999382184089232,0.06979695431472081,0.05505761843790013,15,44,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
1954,1727,1725,227,2,0.11617195496417605,17.25,0.1811668372569089,0.07353792704111176,0.9988419224088014,13.8,0.8,0.0,84.41229361415753,299.4555001068278,335.8349158302811,"{0: 0.2631578947368421, 1: 0.10358565737051793}",0.990544599251674,0.2631578947368421,0.10358565737051793,20,42,Admission Only + Fixed Model,ablation,Admission Only + Fixed
2084,1816,1811,268,5,0.12859884836852206,18.11,0.20489443378119002,0.08755506607929515,0.9972466960352423,14.488000000000001,0.8000000000000002,0.0,88.27241701452294,305.8926535705832,352.019836853286,"{0: 0.29364278506559033, 1: 0.12442817932296432}",0.988687444651312,0.29364278506559033,0.12442817932296432,20,43,Admission Only + Fixed Model,ablation,Admission Only + Fixed
2075,1769,1769,306,0,0.14746987951807228,17.69,0.22554216867469878,0.09157716223855286,1.0,14.152000000000001,0.8,0.0,87.75641875331348,311.9117082985918,349.3377798254845,"{0: 0.31714568880079286, 1: 0.13883677298311445}",0.9868390276356319,0.31714568880079286,0.13883677298311445,20,44,Admission Only + Fixed Model,ablation,Admission Only + Fixed
