total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
2075,2075,2075,0,0,0.0,20.75,0.16337349397590362,0.16337349397590362,1.0,15.894,0.7659759036144579,0.17012048192771084,99.3828707265784,285.87033223024844,335.4963072825172,"{0: 0.26362735381565905, 1: 0.06848030018761726}",0.9864953599629734,20,44,threshold_wait_ms=200.0,threshold_wait_ms,200.0
2501,2501,2499,0,2,0.0,24.99,0.08876449420231908,0.08876449420231908,0.9992003198720512,18.256,0.730532212885154,0.3470611755297881,89.63224016602908,236.2499261337445,294.0446445611577,"{0: 0.16147540983606556, 1: 0.0195160031225605}",0.9939462878201462,25,42,threshold_wait_ms=80.0,threshold_wait_ms,80.0
2574,2574,2568,0,6,0.0,25.68,0.09984459984459984,0.09984459984459984,0.9976689976689976,18.764,0.7306853582554516,0.3480963480963481,92.46315848808445,242.74997472538746,288.8816520373024,"{0: 0.19020866773675763, 1: 0.015060240963855422}",0.990565973018528,25,43,threshold_wait_ms=80.0,threshold_wait_ms,80.0
2581,2581,2576,0,5,0.0,25.76,0.10344827586206896,0.10344827586206896,0.9980627663696242,18.782,0.7291149068322981,0.35490120108485085,93.04415255408458,243.32846716606173,294.85324370350827,"{0: 0.19464720194647203, 1: 0.020029673590504452}",0.990524389805013,25,44,threshold_wait_ms=80.0,threshold_wait_ms,80.0
2501,2501,2499,0,2,0.0,24.99,0.13714514194322272,0.13714514194322272,0.9992003198720512,18.366,0.7349339735894357,0.32506997201119553,99.1552378995475,269.4683015812772,324.79161282472046,"{0: 0.22950819672131148, 1: 0.04918032786885246}",0.9891440875650458,25,42,threshold_wait_ms=120.0,threshold_wait_ms,120.0
2574,2574,2569,0,5,0.0,25.69,0.1351981351981352,0.1351981351981352,0.9980574980574981,18.89,0.7353055663682366,0.3243978243978244,101.82327134477964,271.2518388251599,322.79041513588356,"{0: 0.23434991974317818, 1: 0.04216867469879518}",0.9877187632146108,25,43,threshold_wait_ms=120.0,threshold_wait_ms,120.0
2581,2581,2576,0,5,0.0,25.76,0.1557535838822162,0.1557535838822162,0.9980627663696242,18.918,0.7343944099378881,0.3277799302595893,105.75200513167329,272.23349965680245,330.9588451963118,"{0: 0.27169505271695055, 1: 0.04970326409495549}",0.9828110813255657,25,44,threshold_wait_ms=120.0,threshold_wait_ms,120.0
2501,2501,2499,0,2,0.0,24.99,0.1603358656537385,0.1603358656537385,0.9992003198720512,18.436,0.7377350940376151,0.31107556977209116,104.83677119231288,287.90792608790434,336.00803242355516,"{0: 0.2532786885245902, 1: 0.07181889149102264}",0.988398506476702,25,42,threshold_wait_ms=160.0,threshold_wait_ms,160.0
2574,2574,2566,0,8,0.0,25.66,0.17055167055167056,0.17055167055167056,0.9968919968919969,18.95,0.7385035074045206,0.30963480963480966,107.6159516615553,287.9631809370039,340.51017659380295,"{0: 0.27046548956661315, 1: 0.07680722891566265}",0.9864559866076903,25,43,threshold_wait_ms=160.0,threshold_wait_ms,160.0
2581,2581,2576,0,5,0.0,25.76,0.17163889965129794,0.17163889965129794,0.9980627663696242,18.958,0.735947204968944,0.320030995738086,110.55492783261798,287.8163451583273,334.05495145602254,"{0: 0.28142741281427414, 1: 0.0712166172106825}",0.9839778626105803,25,44,threshold_wait_ms=160.0,threshold_wait_ms,160.0
