total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,scenario,policy_name
1954,1954,1950,0,4,0.0,19.5,0.10184237461617196,0.10184237461617196,0.9979529170931423,14.904000000000002,0.7643076923076924,0.17860798362333674,85.0346089350096,244.11307353754273,303.2258244905289,"{0: 0.18526315789473685, 1: 0.022908366533864542}",0.991856963185579,0.18526315789473685,0.022908366533864542,20,42,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
2084,2084,2077,0,7,0.0,20.77,0.11948176583493282,0.11948176583493282,0.996641074856046,15.852,0.7632161771786231,0.1847408829174664,92.46678294656158,254.69107391830752,321.38838345582303,"{0: 0.20686175580222, 1: 0.04025617566331199}",0.9910470131491176,0.20686175580222,0.04025617566331199,20,43,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
2075,2075,2075,0,0,0.0,20.75,0.12385542168674699,0.12385542168674699,1.0,15.772,0.7600963855421689,0.19951807228915663,92.40083050089015,249.43075499624828,312.77408918373146,"{0: 0.22695738354806738, 1: 0.02626641651031895}",0.9869717571733257,0.22695738354806738,0.02626641651031895,20,44,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
1954,1954,1950,0,4,0.0,19.5,0.13817809621289662,0.13817809621289662,0.9979529170931423,15.207,0.779846153846154,0.14687819856704196,89.29567089119155,322.0962636681563,361.9610137309969,"{0: 0.12526315789473685, 1: 0.150398406374502}",0.9997875635289379,0.12526315789473685,0.150398406374502,20,42,Balanced | Proposed,heterogeneity,Balanced,Proposed
2084,2084,2076,0,8,0.0,20.76,0.17226487523992323,0.17226487523992323,0.9961612284069098,16.113,0.7761560693641619,0.16698656429942418,94.44970788494902,324.87699568746575,372.968687526512,"{0: 0.1503531786074672, 1: 0.19213174748398903}",0.9993650839337738,0.1503531786074672,0.19213174748398903,20,43,Balanced | Proposed,heterogeneity,Balanced,Proposed
2075,2075,2075,0,0,0.0,20.75,0.16240963855421686,0.16240963855421686,1.0,16.04,0.7730120481927711,0.19614457831325302,91.6845282168506,328.7372371463396,370.76675256361574,"{0: 0.13082259663032705, 1: 0.19230769230769232}",0.998657366201333,0.13082259663032705,0.19230769230769232,20,44,Balanced | Proposed,heterogeneity,Balanced,Proposed
1954,1954,1950,0,4,0.0,19.5,0.36591606960081885,0.36591606960081885,0.9979529170931423,14.898,0.7640000000000001,0.18014329580348004,86.94349224993675,260.8358250425385,371.9919764442451,"{0: 0.49963369963369964, 1: 0.05602716468590832}",0.9137997459933798,0.49963369963369964,0.05602716468590832,20,42,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
2084,2084,2077,0,7,0.0,20.77,0.41794625719769674,0.41794625719769674,0.996641074856046,15.864,0.7637939335580164,0.18186180422264875,93.64226022984076,299.812452450988,391.6651422752671,"{0: 0.5529733424470267, 1: 0.0998389694041868}",0.8983634575902195,0.5529733424470267,0.0998389694041868,20,43,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
2075,2075,2075,0,0,0.0,20.75,0.4019277108433735,0.4019277108433735,1.0,15.766000000000002,0.7598072289156628,0.20096385542168674,93.11356612097006,281.22039627623514,378.65767021048384,"{0: 0.5472739820565907, 1: 0.06549520766773163}",0.8923679002369047,0.5472739820565907,0.06549520766773163,20,44,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
1954,1954,1950,0,4,0.0,19.5,0.08546571136131013,0.08546571136131013,0.9979529170931423,14.912,0.7647179487179488,0.29426816786079835,64.6818611773233,226.49316334103494,348.6088898052486,"{0: 0.10842490842490843, 1: 0.03225806451612903}",0.998324683611625,0.10842490842490843,0.03225806451612903,20,42,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
2084,2084,2079,0,5,0.0,20.79,0.0916506717850288,0.0916506717850288,0.9976007677543186,15.834000000000001,0.7616161616161616,0.31717850287907867,65.98981011444903,230.13020138338456,351.77500878785037,"{0: 0.11483253588516747, 1: 0.037037037037037035}",0.9982312157918204,0.11483253588516747,0.037037037037037035,20,43,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
2075,2075,2075,0,0,0.0,20.75,0.10698795180722892,0.10698795180722892,1.0,15.739,0.7585060240963856,0.33590361445783135,66.5168348611769,268.70875710550234,374.03122845848657,"{0: 0.12284334023464458, 1: 0.07028753993610223}",0.9991546809749314,0.12284334023464458,0.07028753993610223,20,44,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
