total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,policy,seed
1066,1065,1065,1,0,0.0009380863039399625,10.65,0.010318949343339587,0.009389671361502348,1.0,8.486,0.7968075117370892,0.02910798122065728,57.12069590140891,146.44622092152852,223.51247050240315,"{0: 0.019455252918287938, 1: 0.0018115942028985507}",0.9999204997839873,10,Proposed: EDF + Feasible Utility + Admission,43
1036,1035,1035,1,0,0.0009652509652509653,10.35,0.0222007722007722,0.021256038647342997,1.0,8.234000000000002,0.7955555555555557,0.035748792270531404,58.21373286007292,143.96472185316452,235.5809819518472,"{0: 0.032818532818532815, 1: 0.011583011583011582}",0.9998820996014772,10,Proposed: EDF + Feasible Utility + Admission,44
1468,1468,1467,0,1,0.0,14.67,0.1893732970027248,0.1893732970027248,0.9993188010899182,11.736,0.7999999999999999,0.0,85.07502203256445,227.3674540824672,288.4171794674408,"{0: 0.38202247191011235, 1: 0.007936507936507936}",0.9487805715711036,15,FIFO + Fixed,42
1576,1576,1576,0,0,0.0,15.76,0.2633248730964467,0.2633248730964467,1.0,12.608000000000002,0.8000000000000002,0.0,97.28286173529705,286.0770114780257,412.80356847326175,"{0: 0.5013262599469496, 1: 0.045012165450121655}",0.910301270023096,15,FIFO + Fixed,43
1569,1569,1569,0,0,0.0,15.69,0.2887189292543021,0.2887189292543021,1.0,12.552,0.8,0.0,105.65451928259381,326.36868989153874,440.9152156122883,"{0: 0.5088832487309645, 1: 0.06658130601792574}",0.9120732736394823,15,FIFO + Fixed,44
1468,1468,1467,0,1,0.0,14.67,0.11989100817438691,0.11989100817438691,0.9993188010899182,11.736,0.7999999999999999,0.0,76.48143466243346,269.2064380504468,340.0463538655276,"{0: 0.175561797752809, 1: 0.06746031746031746}",0.9962287115932723,15,EDF + Fixed,42
1576,1576,1576,0,0,0.0,15.76,0.19733502538071065,0.19733502538071065,1.0,12.608000000000002,0.8000000000000002,0.0,85.45190727027148,345.2507950540057,481.1590123649439,"{0: 0.2718832891246684, 1: 0.12895377128953772}",0.992074933758202,15,EDF + Fixed,43
1569,1569,1569,0,0,0.0,15.69,0.24537922243467178,0.24537922243467178,1.0,12.552,0.8,0.0,91.74312453676248,371.65160874539794,491.95335169815905,"{0: 0.30456852791878175, 1: 0.1856594110115237}",0.9938351587787395,15,EDF + Fixed,44
1468,1385,1384,83,1,0.05653950953678474,13.84,0.0776566757493188,0.022382671480144403,0.9992779783393502,11.072000000000001,0.7999999999999998,0.0,66.00955596249423,203.45315231645478,288.2082437934079,"{0: 0.14606741573033707, 1: 0.013227513227513227}",0.9948187726328819,15,EDF + Admission Only + Fixed Model,42
1576,1467,1467,109,0,0.06916243654822335,14.67,0.09390862944162437,0.026584867075664622,1.0,11.736,0.7999999999999999,0.0,71.12013702975673,235.76534185249267,312.23159653196853,"{0: 0.16710875331564987, 1: 0.0267639902676399}",0.9939982026279817,15,EDF + Admission Only + Fixed Model,43
1569,1449,1449,120,0,0.07648183556405354,14.49,0.09751434034416825,0.022774327122153208,1.0,11.592,0.8,0.0,69.52439106432575,241.7515879161923,296.23500479959415,"{0: 0.17385786802030456, 1: 0.020486555697823303}",0.9928369763724945,15,EDF + Admission Only + Fixed Model,44
1468,1468,1467,0,1,0.0,14.67,0.07425068119891008,0.07425068119891008,0.9993188010899182,11.582,0.7895023858214041,0.052452316076294275,71.90206583809413,200.98005036269168,276.9245552167909,"{0: 0.14185393258426968, 1: 0.010582010582010581}",0.9949770628097221,15,EDF + Threshold Downgrade,42
1576,1576,1576,0,0,0.0,15.76,0.09200507614213198,0.09200507614213198,1.0,12.394,0.7864213197969544,0.06789340101522842,75.5006499412932,212.90568590813928,296.45523335806865,"{0: 0.17374005305039789, 1: 0.0170316301703163}",0.9925535058161592,15,EDF + Threshold Downgrade,43
1569,1569,1569,0,0,0.0,15.69,0.09878903760356915,0.09878903760356915,1.0,12.296000000000001,0.7836838750796685,0.0815806246016571,76.74411190090905,231.81363294738298,298.4782302501509,"{0: 0.17639593908629442, 1: 0.020486555697823303}",0.9925790152722457,15,EDF + Threshold Downgrade,44
1468,1394,1393,74,1,0.05040871934604905,13.93,0.06880108991825613,0.019368723098995694,0.9992826398852224,11.078,0.7952620244077528,0.023672883787661407,66.29931652685627,181.4511025547541,253.79604730188902,"{0: 0.13623595505617977, 1: 0.005291005291005291}",0.9950601437911025,15,EDF + Threshold Downgrade + Admission,42
1576,1478,1478,98,0,0.06218274111675127,14.78,0.0799492385786802,0.018944519621109608,1.0,11.714,0.7925575101488497,0.03721244925575101,67.97271081753934,191.34960068464937,276.18819978794227,"{0: 0.15384615384615385, 1: 0.012165450121654502}",0.9940674134736879,15,EDF + Threshold Downgrade + Admission,43
