arrival_rate,policy,total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,fairness_jain_index
15,Proposed: EDF + Feasible Utility + Admission,1537.6666666666667,1527.0,1526.6666666666667,10.666666666666666,0.3333333333333333,0.006858258489159662,15.266666666666666,0.052023806326107924,0.04550523643453568,0.9997721576668944,74.32308779001141,246.4041832852223,318.9282960328026,12.089333333333334,0.7919130392777424,0.07133345907187714,0.9998529174207437
20,EDF + Admission Only + Fixed Model,2037.6666666666667,1770.6666666666667,1768.3333333333333,267.0,2.3333333333333335,0.13074689428359013,17.683333333333334,0.20386781323759925,0.08422338511965326,0.9986962061480146,86.81370979399799,305.75328732533427,345.73084416968385,14.146666666666668,0.8000000000000002,0.0,0.9886903571795393
20,EDF + Fixed,2037.6666666666667,2037.6666666666667,2025.0,0.0,12.666666666666666,0.0,20.25,0.8308674037468533,0.8308674037468533,0.9938442213444035,773.4409943807101,1520.2477517061354,1832.020417540669,16.200000000000003,0.8000000000000002,0.0,0.9923936944935731
20,EDF + Threshold Downgrade,2037.6666666666667,2037.6666666666667,2034.0,0.0,3.6666666666666665,0.0,20.34,0.1150598540459506,0.1150598540459506,0.998197997316396,89.96740746082044,249.41163415069954,312.4627657100278,15.509333333333336,0.7625400850094947,0.1876223129433199,0.9899585778360075
20,EDF + Threshold Downgrade + Admission,2037.6666666666667,1886.6666666666667,1884.6666666666667,151.0,2.0,0.07391765290296953,18.846666666666668,0.09410514429367138,0.021775818085394468,0.9989444564120588,81.35832448041951,235.541796876352,287.49561831766056,14.607333333333335,0.7750742175086566,0.12467343205862126,0.9900704949652156
20,FIFO + Fixed,2037.6666666666667,2037.6666666666667,2025.0,0.0,12.666666666666666,0.0,20.25,0.824681966697714,0.824681966697714,0.9938442213444035,777.9673538776975,1490.3592595184411,1809.3224582332705,16.200000000000003,0.8000000000000002,0.0,0.7481229297567267
20,Proposed: EDF + Feasible Utility,2037.6666666666667,2037.6666666666667,2033.6666666666667,0.0,4.0,0.0,20.33666666666667,0.15761753666901224,0.15761753666901224,0.9980380485000174,91.80996899766372,325.23683216732053,368.5654846070415,15.786666666666667,0.7763380904676956,0.17000311372657306,0.9992700045546816
20,Proposed: EDF + Feasible Utility + Admission,2037.6666666666667,1973.3333333333333,1969.6666666666667,64.33333333333333,3.6666666666666665,0.031523164346543904,19.696666666666665,0.14416319704899672,0.11631984909651531,0.998139154025358,89.08483264454237,318.84847761567244,356.7539245734547,15.443,0.7840928239849196,0.13882282585774772,0.9995700665448722
25,EDF + Admission Only + Fixed Model,2552.0,1971.3333333333333,1967.3333333333333,580.6666666666666,4.0,0.22746771962080026,19.673333333333332,0.3638197757486888,0.17661578953494717,0.9979776508704354,124.98983630458618,332.8913346910685,367.123976632071,15.738666666666667,0.8000000000000002,0.0,0.9878502724332429
25,EDF + Fixed,2552.0,2552.0,2077.0,0.0,475.0,0.0,20.77,0.9938077404794708,0.9938077404794708,0.8140349840491171,9501.962286271393,17381.867922251844,18365.336634743737,16.616,0.8000000000000002,0.0,0.9349485668315328
25,EDF + Threshold Downgrade,2552.0,2552.0,2548.0,0.0,4.0,0.0,25.48,0.1426989536745247,0.1426989536745247,0.9984401947663911,102.24350479200014,270.98454668774656,326.1802910523053,18.724666666666668,0.73487798329852,0.3257492422228698,0.9865579773684074
25,EDF + Threshold Downgrade + Admission,2552.0,2349.3333333333335,2345.0,202.66666666666666,4.333333333333333,0.07936872737965087,23.45,0.11046237931500874,0.03376613745580404,0.9981645201344271,90.17974013955275,257.0231705701145,303.1612466211687,17.564666666666668,0.7490231000518124,0.25526010935870186,0.9897841177241823
25,FIFO + Fixed,2552.0,2552.0,2077.0,0.0,475.0,0.0,20.77,0.9910449863829225,0.9910449863829225,0.8140349840491171,9508.430095330621,17388.64492618667,18359.55008306181,16.616,0.8000000000000002,0.0,0.6770164977814753
25,Proposed: EDF + Feasible Utility,2552.0,2552.0,2547.0,0.0,5.0,0.0,25.47,0.34214373016256366,0.34214373016256366,0.9980516943778909,122.68141964809486,354.42446314380913,392.02991525066705,19.17533333333333,0.7528697394836706,0.314511509034862,0.9886054521095081
25,Proposed: EDF + Feasible Utility + Admission,2552.0,2324.3333333333335,2319.6666666666665,227.66666666666666,4.666666666666667,0.08920456863914118,23.19666666666667,0.312103236300392,0.24473176947989309,0.9980018842636551,112.98933356627246,346.9067458128581,380.3734603289019,17.921666666666667,0.7726058187795434,0.22650029267965036,0.9926728637930382
30,EDF + Admission Only + Fixed Model,3046.3333333333335,2046.0,2041.0,1000.3333333333334,5.0,0.32822378183578466,20.41,0.5119033282327269,0.27357319277249376,0.9975559309514438,203.6190217198765,350.3222233526887,385.1136253381914,16.328,0.8000000000000002,0.0,0.9872303220483761
30,EDF + Fixed,3046.3333333333335,3046.3333333333335,2077.3333333333335,0.0,969.0,0.0,20.773333333333333,0.9972550241706951,0.9972550241706951,0.6820793538610004,16225.83835640671,30290.399780325544,31750.447016857725,16.618666666666666,0.8000000000000002,0.0,0.8710868344378785
30,EDF + Threshold Downgrade,3046.3333333333335,3046.3333333333335,3040.6666666666665,0.0,5.666666666666667,0.0,30.406666666666666,0.1434486047824505,0.1434486047824505,0.9981377793853702,107.83450408395584,269.66344291701506,318.72975021656686,21.608,0.7106706470913616,0.447459887906468,0.9855408439627366
30,EDF + Threshold Downgrade + Admission,3046.3333333333335,2789.0,2784.0,257.3333333333333,5.0,0.08443426014550692,27.84,0.11258006038315667,0.030739524759870896,0.9982033059379019,95.27223588687532,261.52683146625856,299.4043422843239,20.18733333333333,0.725129047848596,0.3747666135781806,0.9885945774658085
30,FIFO + Fixed,3046.3333333333335,3046.3333333333335,2077.3333333333335,0.0,969.0,0.0,20.773333333333333,0.9968192262597898,0.9968192262597898,0.6820793538610004,16220.375252319229,30295.19984952178,31771.11605110536,16.618666666666666,0.8000000000000002,0.0,0.8525416332013522
30,Proposed: EDF + Feasible Utility,3046.3333333333335,3046.3333333333335,3040.0,0.0,6.333333333333333,0.0,30.400000000000002,0.5172730353012692,0.5172730353012692,0.9979165326120581,162.67374491023307,369.3524105446766,403.0291695870885,22.10166666666667,0.727056380468182,0.4635082954615945,0.9652457654124248
30,Proposed: EDF + Feasible Utility + Admission,3046.3333333333335,2586.6666666666665,2581.6666666666665,459.6666666666667,5.0,0.15089827222359783,25.816666666666666,0.45374992815448617,0.3566735611138581,0.9980624304717803,199.4558487052433,359.1432796597116,392.16862309494064,19.625666666666667,0.7602358145547538,0.32298275129528414,0.9762338666458806
