total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
2075,1964,1964,111,0,0.05349397590361446,19.64,0.2862650602409639,0.24592668024439918,1.0,15.298,0.7789205702647659,0.17973523421588594,101.95515712712779,348.48221777271885,396.3220316110971,"{0: 0.3072348860257681, 1: 0.26641651031894936}",0.9991817150703932,20,44,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
1954,1838,1834,116,4,0.0593654042988741,18.34,0.3203684749232344,0.27747551686615884,0.9978237214363439,14.367,0.7833696837513632,0.14036996735582155,104.08431347226633,370.3069761614766,415.34121973280685,"{0: 0.34842105263157896, 1: 0.29382470119521914}",0.9983857036845046,20,42,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
2084,1920,1913,164,7,0.07869481765834933,19.13,0.4006717850287908,0.3494791666666667,0.9963541666666667,14.889000000000001,0.7783063251437533,0.1796875,117.83434867866163,377.5601154097301,426.223507374387,"{0: 0.4520686175580222, 1: 0.35407136322049404}",0.9933072499782699,20,43,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
2075,1899,1899,176,0,0.08481927710843373,18.99,0.41542168674698793,0.36124275934702477,1.0,14.741000000000001,0.7762506582411797,0.1922064244339126,118.64422089053551,385.4532559316249,429.1951137739251,"{0: 0.4618434093161546, 1: 0.3714821763602251}",0.9940369632926274,20,44,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
2501,2280,2278,221,2,0.08836465413834466,22.78,0.2922830867652939,0.2236842105263158,0.9991228070175439,17.619,0.7734416154521511,0.218859649122807,104.89551757485242,346.6747451317402,383.2708914951371,"{0: 0.23442622950819672, 1: 0.3473848555815769}",0.9936958850830007,25,42,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
2574,2338,2331,236,7,0.09168609168609168,23.31,0.31895881895881895,0.25021385799828916,0.9970059880239521,18.014,0.7728013728013727,0.22412318220701455,118.26848322639125,346.754725631552,376.8731468825975,"{0: 0.2608346709470305, 1: 0.37349397590361444}",0.9932407846975064,25,43,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
2581,2355,2350,226,5,0.08756296009298721,23.5,0.32506780317706313,0.2602972399150743,0.9978768577494692,18.132,0.7715744680851063,0.23651804670912951,115.8039998975737,347.29076667528204,380.97634260897104,"{0: 0.25790754257907544, 1: 0.38649851632047477}",0.9910819215986076,25,44,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
2501,2229,2227,272,2,0.10875649740103958,22.27,0.4026389444222311,0.3297442799461642,0.9991027366532077,17.202,0.7724292770543331,0.22521310004486317,114.3838889641338,355.42489344309064,384.6591647022095,"{0: 0.3622950819672131, 1: 0.4410616705698673}",0.9956860302255048,25,42,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
2574,2288,2281,286,7,0.1111111111111111,22.81,0.43006993006993005,0.35882867132867136,0.9969405594405595,17.556,0.7696624287593159,0.24125874125874125,125.36669789277948,354.3314970307074,387.0440512149376,"{0: 0.3780096308186196, 1: 0.4789156626506024}",0.9922676084073424,25,43,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
2581,2299,2294,282,5,0.10925997675319643,22.94,0.4347152266563348,0.36537625054371464,0.9978251413658112,17.656000000000002,0.7696599825632083,0.2557633753806003,132.0486738503505,367.23475704749035,403.70004899355587,"{0: 0.36658556366585565, 1: 0.4970326409495549}",0.9869942679889457,25,44,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
